dob,salary,salary_inc,inflation,old_pension_pa,new_pension_pa,old_pension_20yr_pa,new_pension_20yr_p
1999,2500,0.04,0.025,2040,1650,2040,1490
1999,7500,0.04,0.025,6120,4960,6120,4500
1999,12500,0.04,0.025,10220,8280,10220,7520
1999,17500,0.04,0.025,14310,11580,14310,10520
1999,22500,0.04,0.025,18400,14270,18400,12990
1999,27500,0.04,0.025,22490,16390,22490,14980
1999,32500,0.04,0.025,26560,18210,26560,16730
1999,37500,0.04,0.025,30050,19890,30050,18390
1999,42500,0.04,0.025,32870,21510,32870,20010
1999,47500,0.04,0.025,35220,23130,35220,21630
1999,52500,0.04,0.025,37240,24760,37240,23260
1999,57500,0.04,0.025,39010,26380,39010,24880
1999,62500,0.04,0.025,40630,27990,40630,26490
1999,67500,0.04,0.025,42230,29590,42230,28090
1999,72500,0.04,0.025,43830,31190,43830,29690
1999,77500,0.04,0.025,45430,32790,45430,31290
1999,82500,0.04,0.025,47030,34390,47030,32890
1999,87500,0.04,0.025,48630,35990,48630,34490
1999,92500,0.04,0.025,50230,37590,50230,36090
1999,97500,0.04,0.025,51830,39190,51830,37690
1999,102500,0.04,0.025,53430,40790,53430,39290
1999,107500,0.04,0.025,55030,42390,55030,40890
1999,112500,0.04,0.025,56630,43990,56630,42490
1999,117500,0.04,0.025,58230,45590,58230,44090
1999,122500,0.04,0.025,59830,47190,59830,45690
1999,127500,0.04,0.025,61430,48790,61430,47290
1999,132500,0.04,0.025,63030,50390,63030,48890
1999,137500,0.04,0.025,64630,51990,64630,50490
1999,142500,0.04,0.025,66230,53590,66230,52090
1999,147500,0.04,0.025,67830,55190,67830,53690
1999,200000,0.04,0.025,84630,71990,84630,70490
1999,2500,0.04,0.028,1900,1460,1900,1250
1999,7500,0.04,0.028,5700,4380,5700,3750
1999,12500,0.04,0.028,9520,7310,9520,6270
1999,17500,0.04,0.028,13330,10220,13330,8770
1999,22500,0.04,0.028,17130,12600,17130,10850
1999,27500,0.04,0.028,20950,14470,20950,12550
1999,32500,0.04,0.028,24750,16080,24750,14070
1999,37500,0.04,0.028,28510,17570,28510,15520
1999,42500,0.04,0.028,31630,19000,31630,16950
1999,47500,0.04,0.028,34110,20440,34110,18390
1999,52500,0.04,0.028,36120,21880,36120,19830
1999,57500,0.04,0.028,37780,23320,37780,21270
1999,62500,0.04,0.028,39210,24740,39210,22690
1999,67500,0.04,0.028,40620,26150,40620,24100
1999,72500,0.04,0.028,42030,27560,42030,25510
1999,77500,0.04,0.028,43440,28960,43440,26910
1999,82500,0.04,0.028,44850,30370,44850,28320
1999,87500,0.04,0.028,46260,31780,46260,29730
1999,92500,0.04,0.028,47670,33190,47670,31140
1999,97500,0.04,0.028,49080,34600,49080,32550
1999,102500,0.04,0.028,50490,36010,50490,33960
1999,107500,0.04,0.028,51900,37420,51900,35370
1999,112500,0.04,0.028,53300,38830,53300,36780
1999,117500,0.04,0.028,54710,40240,54710,38190
1999,122500,0.04,0.028,56120,41650,56120,39600
1999,127500,0.04,0.028,57530,43050,57530,41000
1999,132500,0.04,0.028,58940,44460,58940,42410
1999,137500,0.04,0.028,60350,45870,60350,43820
1999,142500,0.04,0.028,61760,47280,61760,45230
1999,147500,0.04,0.028,63170,48690,63170,46640
1999,200000,0.04,0.028,77960,63480,77960,61430
1999,2500,0.04,0.03,1810,1340,1810,1100
1999,7500,0.04,0.03,5440,4030,5440,3330
1999,12500,0.04,0.03,9080,6730,9080,5560
1999,17500,0.04,0.03,12710,9400,12710,7770
1999,22500,0.04,0.03,16350,11600,16350,9630
1999,27500,0.04,0.03,19990,13330,19990,11170
1999,32500,0.04,0.03,23620,14820,23620,12550
1999,37500,0.04,0.03,27260,16190,27260,13880
1999,42500,0.04,0.03,30680,17510,30680,15200
1999,47500,0.04,0.03,33360,18840,33360,16530
1999,52500,0.04,0.03,35410,20160,35410,17850
1999,57500,0.04,0.03,37050,21490,37050,19180
1999,62500,0.04,0.03,38380,22800,38380,20490
1999,67500,0.04,0.03,39680,24100,39680,21790
1999,72500,0.04,0.03,40970,25390,40970,23080
1999,77500,0.04,0.03,42270,26690,42270,24380
1999,82500,0.04,0.03,43560,27980,43560,25670
1999,87500,0.04,0.03,44860,29280,44860,26970
1999,92500,0.04,0.03,46150,30570,46150,28260
1999,97500,0.04,0.03,47450,31860,47450,29550
1999,102500,0.04,0.03,48740,33160,48740,30850
1999,107500,0.04,0.03,50040,34450,50040,32140
1999,112500,0.04,0.03,51330,35750,51330,33440
1999,117500,0.04,0.03,52630,37040,52630,34730
1999,122500,0.04,0.03,53920,38340,53920,36030
1999,127500,0.04,0.03,55220,39630,55220,37320
1999,132500,0.04,0.03,56510,40930,56510,38620
1999,137500,0.04,0.03,57810,42220,57810,39910
1999,142500,0.04,0.03,59100,43520,59100,41210
1999,147500,0.04,0.03,60390,44810,60390,42500
1999,200000,0.04,0.03,73990,58410,73990,56100
1994,2500,0.04,0.025,1740,1420,1740,1290
1994,7500,0.04,0.025,5220,4270,5220,3880
1994,12500,0.04,0.025,8710,7130,8710,6480
1994,17500,0.04,0.025,12210,9990,12210,9080
1994,22500,0.04,0.025,15690,12550,15690,11410
1994,27500,0.04,0.025,19180,14500,19180,13230
1994,32500,0.04,0.025,22670,16110,22670,14770
1994,37500,0.04,0.025,25960,17540,25960,16180
1994,42500,0.04,0.025,28590,18880,28590,17520
1994,47500,0.04,0.025,30730,20230,30730,18870
1994,52500,0.04,0.025,32510,21570,32510,20210
1994,57500,0.04,0.025,34020,22910,34020,21550
1994,62500,0.04,0.025,35360,24240,35360,22880
1994,67500,0.04,0.025,36680,25560,36680,24200
1994,72500,0.04,0.025,38000,26880,38000,25520
1994,77500,0.04,0.025,39310,28190,39310,26830
1994,82500,0.04,0.025,40630,29510,40630,28150
1994,87500,0.04,0.025,41950,30830,41950,29470
1994,92500,0.04,0.025,43270,32150,43270,30790
1994,97500,0.04,0.025,44580,33460,44580,32100
1994,102500,0.04,0.025,45900,34780,45900,33420
1994,107500,0.04,0.025,47220,36100,47220,34740
1994,112500,0.04,0.025,48530,37410,48530,36050
1994,117500,0.04,0.025,49850,38730,49850,37370
1994,122500,0.04,0.025,51170,40050,51170,38690
1994,127500,0.04,0.025,52490,41370,52490,40010
1994,132500,0.04,0.025,53800,42680,53800,41320
1994,137500,0.04,0.025,55120,44000,55120,42640
1994,142500,0.04,0.025,56440,45320,56440,43960
1994,147500,0.04,0.025,57760,46630,57760,45270
1994,200000,0.04,0.025,71590,60470,71590,59110
1994,2500,0.04,0.028,1630,1270,1630,1090
1994,7500,0.04,0.028,4900,3830,4900,3280
1994,12500,0.04,0.028,8180,6390,8180,5480
1994,17500,0.04,0.028,11470,8950,11470,7680
1994,22500,0.04,0.028,14740,11240,14740,9670
1994,27500,0.04,0.028,18020,13000,18020,11250
1994,32500,0.04,0.028,21290,14440,21290,12590
1994,37500,0.04,0.028,24570,15720,24570,13830
1994,42500,0.04,0.028,27530,16930,27530,15040
1994,47500,0.04,0.028,29840,18140,29840,16250
1994,52500,0.04,0.028,31660,19350,31660,17460
1994,57500,0.04,0.028,33110,20560,33110,18670
1994,62500,0.04,0.028,34320,21750,34320,19860
1994,67500,0.04,0.028,35490,22920,35490,21030
1994,72500,0.04,0.028,36670,24100,36670,22210
1994,77500,0.04,0.028,37850,25280,37850,23390
1994,82500,0.04,0.028,39030,26450,39030,24560
1994,87500,0.04,0.028,40200,27630,40200,25740
1994,92500,0.04,0.028,41380,28810,41380,26920
1994,97500,0.04,0.028,42560,29980,42560,28090
1994,102500,0.04,0.028,43730,31160,43730,29270
1994,107500,0.04,0.028,44910,32340,44910,30450
1994,112500,0.04,0.028,46090,33520,46090,31630
1994,117500,0.04,0.028,47260,34690,47260,32800
1994,122500,0.04,0.028,48440,35870,48440,33980
1994,127500,0.04,0.028,49620,37050,49620,35160
1994,132500,0.04,0.028,50800,38220,50800,36330
1994,137500,0.04,0.028,51970,39400,51970,37510
1994,142500,0.04,0.028,53150,40580,53150,38690
1994,147500,0.04,0.028,54330,41750,54330,39860
1994,200000,0.04,0.028,66690,54110,66690,52220
1994,2500,0.04,0.03,1560,1180,1560,970
1994,7500,0.04,0.03,4700,3560,4700,2940
1994,12500,0.04,0.03,7850,5940,7850,4910
1994,17500,0.04,0.03,10990,8310,10990,6870
1994,22500,0.04,0.03,14140,10460,14140,8670
1994,27500,0.04,0.03,17290,12090,17290,10100
1994,32500,0.04,0.03,20430,13430,20430,11330
1994,37500,0.04,0.03,23580,14620,23580,12480
1994,42500,0.04,0.03,26690,15740,26690,13590
1994,47500,0.04,0.03,29210,16870,29210,14720
1994,52500,0.04,0.03,31120,17990,31120,15840
1994,57500,0.04,0.03,32560,19130,32560,16980
1994,62500,0.04,0.03,33710,20230,33710,18080
1994,67500,0.04,0.03,34800,21320,34800,19170
1994,72500,0.04,0.03,35890,22420,35890,20270
1994,77500,0.04,0.03,36980,23510,36980,21360
1994,82500,0.04,0.03,38080,24600,38080,22450
1994,87500,0.04,0.03,39170,25690,39170,23540
1994,92500,0.04,0.03,40260,26790,40260,24640
1994,97500,0.04,0.03,41350,27880,41350,25730
1994,102500,0.04,0.03,42440,28970,42440,26820
1994,107500,0.04,0.03,43540,30060,43540,27910
1994,112500,0.04,0.03,44630,31150,44630,29000
1994,117500,0.04,0.03,45720,32250,45720,30100
1994,122500,0.04,0.03,46810,33340,46810,31190
1994,127500,0.04,0.03,47900,34430,47900,32280
1994,132500,0.04,0.03,49000,35520,49000,33370
1994,137500,0.04,0.03,50090,36610,50090,34460
1994,142500,0.04,0.03,51180,37710,51180,35560
1994,147500,0.04,0.03,52270,38800,52270,36650
1994,200000,0.04,0.03,63740,50270,63740,48120
1989,2500,0.04,0.025,1460,1200,1460,1090
1989,7500,0.04,0.025,4380,3620,4380,3290
1989,12500,0.04,0.025,7310,6050,7310,5500
1989,17500,0.04,0.025,10250,8480,10250,7710
1989,22500,0.04,0.025,13170,10810,13170,9830
1989,27500,0.04,0.025,16110,12630,16110,11510
1989,32500,0.04,0.025,19030,14040,19030,12850
1989,37500,0.04,0.025,21940,15250,21940,14040
1989,42500,0.04,0.025,24410,16350,24410,15130
1989,47500,0.04,0.025,26370,17450,26370,16230
1989,52500,0.04,0.025,27940,18550,27940,17330
1989,57500,0.04,0.025,29230,19650,29230,18430
1989,62500,0.04,0.025,30310,20730,30310,19510
1989,67500,0.04,0.025,31380,21790,31380,20570
1989,72500,0.04,0.025,32450,22860,32450,21640
1989,77500,0.04,0.025,33520,23930,33520,22710
1989,82500,0.04,0.025,34580,25000,34580,23780
1989,87500,0.04,0.025,35650,26070,35650,24850
1989,92500,0.04,0.025,36720,27130,36720,25910
1989,97500,0.04,0.025,37790,28200,37790,26980
1989,102500,0.04,0.025,38860,29270,38860,28050
1989,107500,0.04,0.025,39920,30340,39920,29120
1989,112500,0.04,0.025,40990,31400,40990,30180
1989,117500,0.04,0.025,42060,32470,42060,31250
1989,122500,0.04,0.025,43130,33540,43130,32320
1989,127500,0.04,0.025,44190,34610,44190,33390
1989,132500,0.04,0.025,45260,35680,45260,34460
1989,137500,0.04,0.025,46330,36740,46330,35520
1989,142500,0.04,0.025,47400,37810,47400,36590
1989,147500,0.04,0.025,48470,38880,48470,37660
1989,200000,0.04,0.025,59680,50090,59680,48870
1989,2500,0.04,0.028,1380,1090,1380,930
1989,7500,0.04,0.028,4150,3290,4150,2820
1989,12500,0.04,0.028,6930,5500,6930,4720
1989,17500,0.04,0.028,9710,7710,9710,6620
1989,22500,0.04,0.028,12480,9830,12480,8450
1989,27500,0.04,0.028,15260,11480,15260,9910
1989,32500,0.04,0.028,18030,12770,18030,11100
1989,37500,0.04,0.028,20810,13870,20810,12160
1989,42500,0.04,0.028,23500,14870,23500,13160
1989,47500,0.04,0.028,25660,15880,25660,14170
1989,52500,0.04,0.028,27310,16890,27310,15180
1989,57500,0.04,0.028,28580,17880,28580,16170
1989,62500,0.04,0.028,29580,18870,29580,17160
1989,67500,0.04,0.028,30550,19840,30550,18130
1989,72500,0.04,0.028,31520,20800,31520,19090
1989,77500,0.04,0.028,32490,21770,32490,20060
1989,82500,0.04,0.028,33460,22740,33460,21030
1989,87500,0.04,0.028,34420,23710,34420,22000
1989,92500,0.04,0.028,35390,24680,35390,22970
1989,97500,0.04,0.028,36360,25640,36360,23930
1989,102500,0.04,0.028,37330,26610,37330,24900
1989,107500,0.04,0.028,38300,27580,38300,25870
1989,112500,0.04,0.028,39260,28550,39260,26840
1989,117500,0.04,0.028,40230,29520,40230,27810
1989,122500,0.04,0.028,41200,30490,41200,28780
1989,127500,0.04,0.028,42170,31450,42170,29740
1989,132500,0.04,0.028,43140,32420,43140,30710
1989,137500,0.04,0.028,44110,33390,44110,31680
1989,142500,0.04,0.028,45070,34360,45070,32650
1989,147500,0.04,0.028,46040,35330,46040,33620
1989,200000,0.04,0.028,56210,45490,56210,43780
1989,2500,0.04,0.03,1330,1030,1330,850
1989,7500,0.04,0.03,4000,3090,4000,2550
1989,12500,0.04,0.03,6690,5160,6690,4270
1989,17500,0.04,0.03,9360,7230,9360,5980
1989,22500,0.04,0.03,12040,9220,12040,7640
1989,27500,0.04,0.03,14720,10780,14720,8980
1989,32500,0.04,0.03,17400,11990,17400,10070
1989,37500,0.04,0.03,20080,13020,20080,11060
1989,42500,0.04,0.03,22750,13970,22750,12010
1989,47500,0.04,0.03,25140,14920,25140,12960
1989,52500,0.04,0.03,26900,15860,26900,13900
1989,57500,0.04,0.03,28180,16810,28180,14850
1989,62500,0.04,0.03,29130,17730,29130,15770
1989,67500,0.04,0.03,30040,18640,30040,16680
1989,72500,0.04,0.03,30950,19540,30950,17580
1989,77500,0.04,0.03,31850,20450,31850,18490
1989,82500,0.04,0.03,32760,21360,32760,19400
1989,87500,0.04,0.03,33670,22270,33670,20310
1989,92500,0.04,0.03,34570,23170,34570,21210
1989,97500,0.04,0.03,35480,24080,35480,22120
1989,102500,0.04,0.03,36390,24990,36390,23030
1989,107500,0.04,0.03,37300,25890,37300,23930
1989,112500,0.04,0.03,38200,26800,38200,24840
1989,117500,0.04,0.03,39110,27710,39110,25750
1989,122500,0.04,0.03,40020,28620,40020,26660
1989,127500,0.04,0.03,40920,29520,40920,27560
1989,132500,0.04,0.03,41830,30430,41830,28470
1989,137500,0.04,0.03,42740,31340,42740,29380
1989,142500,0.04,0.03,43650,32240,43650,30280
1989,147500,0.04,0.03,44550,33150,44550,31190
1989,200000,0.04,0.03,54080,42680,54080,40720
1984,2500,0.04,0.025,1200,1000,1200,900
1984,7500,0.04,0.025,3600,3010,3600,2730
1984,12500,0.04,0.025,6010,5030,6010,4570
1984,17500,0.04,0.025,8430,7050,8430,6410
1984,22500,0.04,0.025,10830,9050,10830,8230
1984,27500,0.04,0.025,13240,10740,13240,9780
1984,32500,0.04,0.025,15650,12010,15650,10980
1984,37500,0.04,0.025,18060,13020,18060,11960
1984,42500,0.04,0.025,20330,13890,20330,12830
1984,47500,0.04,0.025,22120,14780,22120,13720
1984,52500,0.04,0.025,23520,15670,23520,14610
1984,57500,0.04,0.025,24600,16540,24600,15480
1984,62500,0.04,0.025,25480,17410,25480,16350
1984,67500,0.04,0.025,26330,18250,26330,17190
1984,72500,0.04,0.025,27180,19100,27180,18040
1984,77500,0.04,0.025,28020,19950,28020,18890
1984,82500,0.04,0.025,28870,20800,28870,19740
1984,87500,0.04,0.025,29720,21650,29720,20590
1984,92500,0.04,0.025,30570,22490,30570,21430
1984,97500,0.04,0.025,31420,23340,31420,22280
1984,102500,0.04,0.025,32260,24190,32260,23130
1984,107500,0.04,0.025,33110,25040,33110,23980
1984,112500,0.04,0.025,33960,25890,33960,24830
1984,117500,0.04,0.025,34810,26740,34810,25680
1984,122500,0.04,0.025,35660,27580,35660,26520
1984,127500,0.04,0.025,36500,28430,36500,27370
1984,132500,0.04,0.025,37350,29280,37350,28220
1984,137500,0.04,0.025,38200,30130,38200,29070
1984,142500,0.04,0.025,39050,30980,39050,29920
1984,147500,0.04,0.025,39900,31820,39900,30760
1984,200000,0.04,0.025,48800,40730,48800,39670
1984,2500,0.04,0.028,1140,920,1140,790
1984,7500,0.04,0.028,3440,2770,3440,2380
1984,12500,0.04,0.028,5740,4640,5740,3990
1984,17500,0.04,0.028,8050,6500,8050,5590
1984,22500,0.04,0.028,10340,8350,10340,7180
1984,27500,0.04,0.028,12650,9920,12650,8550
1984,32500,0.04,0.028,14940,11080,14940,9610
1984,37500,0.04,0.028,17250,12020,17250,10510
1984,42500,0.04,0.028,19550,12830,19550,11320
1984,47500,0.04,0.028,21560,13650,21560,12140
1984,52500,0.04,0.028,23060,14470,23060,12960
1984,57500,0.04,0.028,24160,15290,24160,13780
1984,62500,0.04,0.028,24980,16080,24980,14570
1984,67500,0.04,0.028,25760,16860,25760,15350
1984,72500,0.04,0.028,26540,17640,26540,16130
1984,77500,0.04,0.028,27320,18420,27320,16910
1984,82500,0.04,0.028,28100,19200,28100,17690
1984,87500,0.04,0.028,28880,19980,28880,18470
1984,92500,0.04,0.028,29660,20760,29660,19250
1984,97500,0.04,0.028,30440,21540,30440,20030
1984,102500,0.04,0.028,31220,22320,31220,20810
1984,107500,0.04,0.028,32000,23100,32000,21590
1984,112500,0.04,0.028,32780,23890,32780,22380
1984,117500,0.04,0.028,33560,24670,33560,23160
1984,122500,0.04,0.028,34340,25450,34340,23940
1984,127500,0.04,0.028,35120,26230,35120,24720
1984,132500,0.04,0.028,35900,27010,35900,25500
1984,137500,0.04,0.028,36680,27790,36680,26280
1984,142500,0.04,0.028,37460,28570,37460,27060
1984,147500,0.04,0.028,38240,29350,38240,27840
1984,200000,0.04,0.028,46440,37540,46440,36030
1984,2500,0.04,0.03,1110,870,1110,720
1984,7500,0.04,0.03,3340,2630,3340,2170
1984,12500,0.04,0.03,5570,4400,5570,3640
1984,17500,0.04,0.03,7800,6150,7800,5090
1984,22500,0.04,0.03,10040,7920,10040,6560
1984,27500,0.04,0.03,12270,9400,12270,7820
1984,32500,0.04,0.03,14500,10500,14500,8800
1984,37500,0.04,0.03,16740,11400,16740,9650
1984,42500,0.04,0.03,18970,12170,18970,10420
1984,47500,0.04,0.03,21120,12950,21120,11200
1984,52500,0.04,0.03,22740,13720,22740,11970
1984,57500,0.04,0.03,23880,14500,23880,12750
1984,62500,0.04,0.03,24670,15260,24670,13510
1984,67500,0.04,0.03,25410,16000,25410,14250
1984,72500,0.04,0.03,26140,16730,26140,14980
1984,77500,0.04,0.03,26880,17470,26880,15720
1984,82500,0.04,0.03,27620,18210,27620,16460
1984,87500,0.04,0.03,28360,18950,28360,17200
1984,92500,0.04,0.03,29100,19690,29100,17940
1984,97500,0.04,0.03,29840,20430,29840,18680
1984,102500,0.04,0.03,30570,21160,30570,19410
1984,107500,0.04,0.03,31310,21900,31310,20150
1984,112500,0.04,0.03,32050,22640,32050,20890
1984,117500,0.04,0.03,32790,23380,32790,21630
1984,122500,0.04,0.03,33530,24120,33530,22370
1984,127500,0.04,0.03,34270,24860,34270,23110
1984,132500,0.04,0.03,35000,25590,35000,23840
1984,137500,0.04,0.03,35740,26330,35740,24580
1984,142500,0.04,0.03,36480,27070,36480,25320
1984,147500,0.04,0.03,37220,27810,37220,26060
1984,200000,0.04,0.03,44970,35560,44970,33810
1979,2500,0.04,0.025,950,810,950,730
1979,7500,0.04,0.025,2870,2430,2870,2210
1979,12500,0.04,0.025,4800,4060,4800,3690
1979,17500,0.04,0.025,6730,5690,6730,5180
1979,22500,0.04,0.025,8650,7320,8650,6660
1979,27500,0.04,0.025,10580,8850,10580,8060
1979,32500,0.04,0.025,12500,9980,12500,9110
1979,37500,0.04,0.025,14430,10820,14430,9920
1979,42500,0.04,0.025,16350,11510,16350,10610
1979,47500,0.04,0.025,17990,12210,17990,11310
1979,52500,0.04,0.025,19230,12900,19230,12000
1979,57500,0.04,0.025,20140,13590,20140,12690
1979,62500,0.04,0.025,20820,14260,20820,13360
1979,67500,0.04,0.025,21480,14920,21480,14020
1979,72500,0.04,0.025,22130,15570,22130,14670
1979,77500,0.04,0.025,22790,16230,22790,15330
1979,82500,0.04,0.025,23440,16880,23440,15980
1979,87500,0.04,0.025,24100,17540,24100,16640
1979,92500,0.04,0.025,24750,18190,24750,17290
1979,97500,0.04,0.025,25410,18850,25410,17950
1979,102500,0.04,0.025,26060,19500,26060,18600
1979,107500,0.04,0.025,26720,20150,26720,19250
1979,112500,0.04,0.025,27370,20810,27370,19910
1979,117500,0.04,0.025,28030,21460,28030,20560
1979,122500,0.04,0.025,28680,22120,28680,21220
1979,127500,0.04,0.025,29340,22770,29340,21870
1979,132500,0.04,0.025,29990,23430,29990,22530
1979,137500,0.04,0.025,30650,24080,30650,23180
1979,142500,0.04,0.025,31300,24740,31300,23840
1979,147500,0.04,0.025,31960,25390,31960,24490
1979,200000,0.04,0.025,38840,32270,38840,31370
1979,2500,0.04,0.028,920,750,920,640
1979,7500,0.04,0.028,2770,2270,2770,1950
1979,12500,0.04,0.028,4630,3800,4630,3270
1979,17500,0.04,0.028,6480,5330,6480,4590
1979,22500,0.04,0.028,8330,6850,8330,5900
1979,27500,0.04,0.028,10190,8290,10190,7140
1979,32500,0.04,0.028,12040,9340,12040,8090
1979,37500,0.04,0.028,13900,10130,13900,8830
1979,42500,0.04,0.028,15740,10780,15740,9480
1979,47500,0.04,0.028,17550,11430,17550,10130
1979,52500,0.04,0.028,18910,12090,18910,10790
1979,57500,0.04,0.028,19840,12730,19840,11430
1979,62500,0.04,0.028,20490,13360,20490,12060
1979,67500,0.04,0.028,21110,13970,21110,12670
1979,72500,0.04,0.028,21720,14580,21720,13280
1979,77500,0.04,0.028,22330,15200,22330,13900
1979,82500,0.04,0.028,22940,15810,22940,14510
1979,87500,0.04,0.028,23550,16420,23550,15120
1979,92500,0.04,0.028,24160,17030,24160,15730
1979,97500,0.04,0.028,24770,17640,24770,16340
1979,102500,0.04,0.028,25390,18250,25390,16950
1979,107500,0.04,0.028,26000,18860,26000,17560
1979,112500,0.04,0.028,26610,19480,26610,18180
1979,117500,0.04,0.028,27220,20090,27220,18790
1979,122500,0.04,0.028,27830,20700,27830,19400
1979,127500,0.04,0.028,28440,21310,28440,20010
1979,132500,0.04,0.028,29060,21920,29060,20620
1979,137500,0.04,0.028,29670,22530,29670,21230
1979,142500,0.04,0.028,30280,23140,30280,21840
1979,147500,0.04,0.028,30890,23760,30890,22460
1979,200000,0.04,0.028,37310,30180,37310,28880
1979,2500,0.04,0.03,900,720,900,590
1979,7500,0.04,0.03,2700,2180,2700,1800
1979,12500,0.04,0.03,4510,3640,4510,3020
1979,17500,0.04,0.03,6310,5090,6310,4220
1979,22500,0.04,0.03,8130,6560,8130,5440
1979,27500,0.04,0.03,9940,7930,9940,6590
1979,32500,0.04,0.03,11740,8940,11740,7470
1979,37500,0.04,0.03,13560,9700,13560,8180
1979,42500,0.04,0.03,15360,10320,15360,8800
1979,47500,0.04,0.03,17170,10950,17170,9430
1979,52500,0.04,0.03,18670,11570,18670,10050
1979,57500,0.04,0.03,19660,12200,19660,10680
1979,62500,0.04,0.03,20300,12800,20300,11280
1979,67500,0.04,0.03,20880,13380,20880,11860
1979,72500,0.04,0.03,21470,13970,21470,12450
1979,77500,0.04,0.03,22050,14550,22050,13030
