Year,Term,Best estimate (1-year forward) for consultation 2017 November cpi-basis
2018,1,1
2019,2,0.977777778
2020,3,0.955555556
2021,4,0.933333333
2022,5,0.911111111
2023,6,0.888888889
2024,7,0.866666667
2025,8,0.844444444
2026,9,0.822222222
2027,10,0.8
2028,11,3.54
2029,12,3.431111111
2030,13,3.322222222
2031,14,3.213333333
2032,15,3.104444444
2033,16,2.995555556
2034,17,2.886666667
2035,18,2.777777778
2036,19,2.668888889
2037,20,2.56
2038,21,2.56
2039,22,2.56
2040,23,2.56
2041,24,2.56
2042,25,2.56
2043,26,2.56
2044,27,2.56
2045,28,2.56
2046,29,2.56
2047,30,2.56
2048,31,2.56
2049,32,2.56
2050,33,2.56
2051,34,2.56
2052,35,2.56
2053,36,2.56
2054,37,2.56
2055,38,2.56
2056,39,2.56
2057,40,2.56
2058,41,2.56
2059,42,2.56
2060,43,2.56
2061,44,2.56
2062,45,2.56
2063,46,2.56
2064,47,2.56
2065,48,2.56
2066,49,2.56
2067,50,2.56