Year,Term,FBB pre-retirement Investment return (Best estimate) cpi basis
2023,1,0.0389
2024,2,0.0389
2025,3,0.0389
2026,4,0.0389
2027,5,0.0389
2028,6,0.0389
2029,7,0.0389
2030,8,0.0389
2031,9,0.0389
2032,10,0.0389
2033,11,0.0389
2034,12,0.0389
2035,13,0.0389
2036,14,0.0389
2037,15,0.0389
2038,16,0.0389
2039,17,0.0389
2040,18,0.0389
2041,19,0.0389
2042,20,0.0389
2043,21,0.0389
2044,22,0.0389
2045,23,0.0389
2046,24,0.0389
2047,25,0.0389
2048,26,0.0389
2049,27,0.0389
2050,28,0.0389
2051,29,0.0389
2052,30,0.0389
2053,31,0.0389
2054,32,0.0389
2055,33,0.0389
2056,34,0.0389
2057,35,0.0389
2058,36,0.0389
2059,37,0.0389
2060,38,0.0389
2061,39,0.0389
2062,40,0.0389
2063,41,0.0389
2064,42,0.0389
2065,43,0.0389
2066,44,0.0389
2067,45,0.0389
2068,46,0.0389
2069,47,0.0389
2070,48,0.0389
2071,49,0.0389
2072,50,0.0389