Year,Term,Discount rate for 2020 valuation with UUK cuts (1-year forward) cpi-basis
2021,1,0.0029
2022,2,0.0029
2023,3,0.0029
2024,4,0.0029
2025,5,0.0029
2026,6,0.0029
2027,7,0.0029
2028,8,0.0029
2029,9,0.0029
2030,10,0.0029
2031,11,0.0029
2032,12,0.0029
2033,13,0.0029
2034,14,0.0029
2035,15,0.0029
2036,16,0.0029
2037,17,0.0029
2038,18,0.0029
2039,19,0.0029
2040,20,0.0029
2041,21,0.0029
2042,22,0.0029
2043,23,0.0029
2044,24,0.0029
2045,25,0.0029
2046,26,0.0029
2047,27,0.0029
2048,28,0.0029
2049,29,0.0029
2050,30,0.0029
2051,31,0.0029
2052,32,0.0029
2053,33,0.0029
2054,34,0.0029
2055,35,0.0029
2056,36,0.0029
2057,37,0.0029
2058,38,0.0029
2059,39,0.0029
2060,40,0.0029
2061,41,0.0029
2062,42,0.0029
2063,43,0.0029
2064,44,0.0029
2065,45,0.0029
2066,46,0.0029
2067,47,0.0029
2068,48,0.0029
2069,49,0.0029
2070,50,0.0029