Year,Term,Discount rate USS present for 2021 valuation with UUK cuts (1-year forward) cpi-basis
2022,1,0.002
2023,2,0.002
2024,3,0.002
2025,4,0.002
2026,5,0.002
2027,6,0.002
2028,7,0.002
2029,8,0.002
2030,9,0.002
2031,10,0.002
2032,11,0.002
2033,12,0.002
2034,13,0.002
2035,14,0.002
2036,15,0.002
2037,16,0.002
2038,17,0.002
2039,18,0.002
2040,19,0.002
2041,20,0.002
2042,21,0.002
2043,22,0.002
2044,23,0.002
2045,24,0.002
2046,25,0.002
2047,26,0.002
2048,27,0.002
2049,28,0.002
2050,29,0.002
2051,30,0.002
2052,31,0.002
2053,32,0.002
2054,33,0.002
2055,34,0.002
2056,35,0.002
2057,36,0.002
2058,37,0.002
2059,38,0.002
2060,39,0.002
2061,40,0.002
2062,41,0.002
2063,42,0.002
2064,43,0.002
2065,44,0.002
2066,45,0.002
2067,46,0.002
2068,47,0.002
2069,48,0.002
2070,49,0.002
2071,50,0.002