Year,Term,Discount rate from USS 2022 June FMP with UUK cuts (1-year forward) cpi-basis
2023,1,0.009
2024,2,0.009
2025,3,0.009
2026,4,0.009
2027,5,0.009
2028,6,0.009
2029,7,0.009
2030,8,0.009
2031,9,0.009
2032,10,0.009
2033,11,0.009
2034,12,0.009
2035,13,0.009
2036,14,0.009
2037,15,0.009
2038,16,0.009
2039,17,0.009
2040,18,0.009
2041,19,0.009
2042,20,0.009
2043,21,0.009
2044,22,0.009
2045,23,0.009
2046,24,0.009
2047,25,0.009
2048,26,0.009
2049,27,0.009
2050,28,0.009
2051,29,0.009
2052,30,0.009
2053,31,0.009
2054,32,0.009
2055,33,0.009
2056,34,0.009
2057,35,0.009
2058,36,0.009
2059,37,0.009
2060,38,0.009
2061,39,0.009
2062,40,0.009
2063,41,0.009
2064,42,0.009
2065,43,0.009
2066,44,0.009
2067,45,0.009
2068,46,0.009
2069,47,0.009
2070,48,0.009
2071,49,0.009
2072,50,0.009