Year,Term,Discount rate USS for 2023 Valuation with benefits fully restored cpi-basis
2024,1,0.022
2025,2,0.022
2026,3,0.022
2027,4,0.022
2028,5,0.022
2029,6,0.022
2030,7,0.022
2031,8,0.022
2032,9,0.022
2033,10,0.022
2034,11,0.022
2035,12,0.022
2036,13,0.022
2037,14,0.022
2038,15,0.022
2039,16,0.022
2040,17,0.022
2041,18,0.022
2042,19,0.022
2043,20,0.022
2044,21,0.022
2045,22,0.022
2046,23,0.022
2047,24,0.022
2048,25,0.022
2049,26,0.022
2050,27,0.022
2051,28,0.022
2052,29,0.022
2053,30,0.022
2054,31,0.022
2055,32,0.022
2056,33,0.022
2057,34,0.022
2058,35,0.022
2059,36,0.022
2060,37,0.022
2061,38,0.022
2062,39,0.022
2063,40,0.022
2064,41,0.022
2065,42,0.022
2066,43,0.022
2067,44,0.022
2068,45,0.022
2069,46,0.022
2070,47,0.022
2071,48,0.022
2072,49,0.022
2073,50,0.022